facility_or_program_type,agency,report_date,date,series,exits,category,housing_category
City-financed homeless set-aside units units financed jointly by HPD and HDC under Housing New York,HPD,08_2023,2023-08-01,total_single_adults,NA,City-financed homeless unit,Permanent Housing
Housing of friends or family,HPD,08_2023,2023-08-01,families_with_children,0,Family or friends,Permanent Housing
Housing of friends or family,HPD,08_2023,2023-08-01,adult_families,0,Family or friends,Permanent Housing
Housing of friends or family,HPD,08_2023,2023-08-01,runaway_and_homeless_youth,NA,Family or friends,Permanent Housing
Housing of friends or family,HPD,08_2023,2023-08-01,total_single_adults,0,Family or friends,Permanent Housing
Moved back to vacated building,HPD,08_2023,2023-08-01,families_with_children,0,Other,Other
Moved back to vacated building,HPD,08_2023,2023-08-01,adult_families,0,Other,Other
Moved back to vacated building,HPD,08_2023,2023-08-01,runaway_and_homeless_youth,NA,Other,Other
Moved back to vacated building,HPD,08_2023,2023-08-01,total_single_adults,0,Other,Other
Other affordable housing- 421-a affordable housing,HPD,08_2023,2023-08-01,families_with_children,NA,Affordable housing,Permanent Housing
Other affordable housing- 421-a affordable housing,HPD,08_2023,2023-08-01,adult_families,NA,Affordable housing,Permanent Housing
Other affordable housing- 421-a affordable housing,HPD,08_2023,2023-08-01,runaway_and_homeless_youth,NA,Affordable housing,Permanent Housing
Other affordable housing- 421-a affordable housing,HPD,08_2023,2023-08-01,total_single_adults,NA,Affordable housing,Permanent Housing
Other affordable housing- Housing New York,HPD,08_2023,2023-08-01,families_with_children,NA,Affordable housing,Permanent Housing
Other affordable housing- Housing New York,HPD,08_2023,2023-08-01,adult_families,NA,Affordable housing,Permanent Housing
Other affordable housing- Housing New York,HPD,08_2023,2023-08-01,runaway_and_homeless_youth,NA,Affordable housing,Permanent Housing
Other affordable housing- Housing New York,HPD,08_2023,2023-08-01,total_single_adults,NA,Affordable housing,Permanent Housing
Other affordable housing- mandatory inclusionary housing,HPD,08_2023,2023-08-01,families_with_children,NA,Affordable housing,Permanent Housing
Other affordable housing- mandatory inclusionary housing,HPD,08_2023,2023-08-01,adult_families,NA,Affordable housing,Permanent Housing
Other affordable housing- mandatory inclusionary housing,HPD,08_2023,2023-08-01,runaway_and_homeless_youth,NA,Affordable housing,Permanent Housing
Other affordable housing- mandatory inclusionary housing,HPD,08_2023,2023-08-01,total_single_adults,NA,Affordable housing,Permanent Housing
Other affordable housing- other housing,HPD,08_2023,2023-08-01,families_with_children,NA,Affordable housing,Permanent Housing
Other affordable housing- other housing,HPD,08_2023,2023-08-01,adult_families,NA,Affordable housing,Permanent Housing
Other affordable housing- other housing,HPD,08_2023,2023-08-01,runaway_and_homeless_youth,NA,Affordable housing,Permanent Housing
Other affordable housing- other housing,HPD,08_2023,2023-08-01,total_single_adults,NA,Affordable housing,Permanent Housing
Private housing that is not an entire apartment with a rental subsidy- private room,HPD,08_2023,2023-08-01,families_with_children,NA,Voucher,Permanent Housing
Private housing that is not an entire apartment with a rental subsidy- private room,HPD,08_2023,2023-08-01,adult_families,NA,Voucher,Permanent Housing
Private housing that is not an entire apartment with a rental subsidy- private room,HPD,08_2023,2023-08-01,runaway_and_homeless_youth,NA,Voucher,Permanent Housing
Private housing that is not an entire apartment with a rental subsidy- private room,HPD,08_2023,2023-08-01,total_single_adults,NA,Voucher,Permanent Housing
Private housing that is not an entire apartment with a rental subsidy- unsubsidized single-room occupancy that is not supportive housing,HPD,08_2023,2023-08-01,families_with_children,NA,Voucher,Permanent Housing
Private housing that is not an entire apartment with a rental subsidy- unsubsidized single-room occupancy that is not supportive housing,HPD,08_2023,2023-08-01,adult_families,NA,Voucher,Permanent Housing
Private housing that is not an entire apartment with a rental subsidy- unsubsidized single-room occupancy that is not supportive housing,HPD,08_2023,2023-08-01,runaway_and_homeless_youth,NA,Voucher,Permanent Housing
Private housing that is not an entire apartment with a rental subsidy- unsubsidized single-room occupancy that is not supportive housing,HPD,08_2023,2023-08-01,total_single_adults,NA,Voucher,Permanent Housing
private rental market apartment with a rental subsidy- disaggregated by the type of such subsidy,HPD,08_2023,2023-08-01,families_with_children,NA,Voucher,Permanent Housing
private rental market apartment with a rental subsidy- disaggregated by the type of such subsidy,HPD,08_2023,2023-08-01,adult_families,NA,Voucher,Permanent Housing
private rental market apartment with a rental subsidy- disaggregated by the type of such subsidy,HPD,08_2023,2023-08-01,runaway_and_homeless_youth,NA,Voucher,Permanent Housing
private rental market apartment with a rental subsidy- disaggregated by the type of such subsidy,HPD,08_2023,2023-08-01,total_single_adults,NA,Voucher,Permanent Housing
Rapid re-housing funded by the United States department of housing and urban development,HPD,08_2023,2023-08-01,families_with_children,NA,Rapid re-housing,Other
Rapid re-housing funded by the United States department of housing and urban development,HPD,08_2023,2023-08-01,adult_families,NA,Rapid re-housing,Other
Rapid re-housing funded by the United States department of housing and urban development,HPD,08_2023,2023-08-01,runaway_and_homeless_youth,NA,Rapid re-housing,Other
Rapid re-housing funded by the United States department of housing and urban development,HPD,08_2023,2023-08-01,total_single_adults,NA,Rapid re-housing,Other
Residential drug treatment and detoxification,HPD,08_2023,2023-08-01,families_with_children,NA,Medical care or rehabilitation facility,Other
Residential drug treatment and detoxification,HPD,08_2023,2023-08-01,adult_families,NA,Medical care or rehabilitation facility,Other
Residential drug treatment and detoxification,HPD,08_2023,2023-08-01,runaway_and_homeless_youth,NA,Medical care or rehabilitation facility,Other
Residential drug treatment and detoxification,HPD,08_2023,2023-08-01,total_single_adults,NA,Medical care or rehabilitation facility,Other
Section 8 voucher housing- HPD- project-based,HPD,08_2023,2023-08-01,families_with_children,NA,Voucher,Permanent Housing
Section 8 voucher housing- HPD- project-based,HPD,08_2023,2023-08-01,adult_families,NA,Voucher,Permanent Housing
Section 8 voucher housing- HPD- project-based,HPD,08_2023,2023-08-01,runaway_and_homeless_youth,NA,Voucher,Permanent Housing
Section 8 voucher housing- HPD- project-based,HPD,08_2023,2023-08-01,total_single_adults,NA,Voucher,Permanent Housing
Section 8 voucher housing- HPD- tenant-based,HPD,08_2023,2023-08-01,families_with_children,NA,Voucher,Permanent Housing
Section 8 voucher housing- HPD- tenant-based,HPD,08_2023,2023-08-01,adult_families,NA,Voucher,Permanent Housing
Section 8 voucher housing- HPD- tenant-based,HPD,08_2023,2023-08-01,runaway_and_homeless_youth,NA,Voucher,Permanent Housing
Section 8 voucher housing- HPD- tenant-based,HPD,08_2023,2023-08-01,total_single_adults,NA,Voucher,Permanent Housing
Section 8 voucher housing- New York state homes and community renewal- tenant-based,HPD,08_2023,2023-08-01,families_with_children,NA,Voucher,Permanent Housing
Section 8 voucher housing- New York state homes and community renewal- tenant-based,HPD,08_2023,2023-08-01,adult_families,NA,Voucher,Permanent Housing
Section 8 voucher housing- New York state homes and community renewal- tenant-based,HPD,08_2023,2023-08-01,runaway_and_homeless_youth,NA,Voucher,Permanent Housing
Section 8 voucher housing- New York state homes and community renewal- tenant-based,HPD,08_2023,2023-08-01,total_single_adults,NA,Voucher,Permanent Housing
Section 8 voucher housing- New York state homes and community renewal-project-based,HPD,08_2023,2023-08-01,families_with_children,NA,Voucher,Permanent Housing
Section 8 voucher housing- New York state homes and community renewal-project-based,HPD,08_2023,2023-08-01,adult_families,NA,Voucher,Permanent Housing
Section 8 voucher housing- New York state homes and community renewal-project-based,HPD,08_2023,2023-08-01,runaway_and_homeless_youth,NA,Voucher,Permanent Housing
Section 8 voucher housing- New York state homes and community renewal-project-based,HPD,08_2023,2023-08-01,total_single_adults,NA,Voucher,Permanent Housing
Section 8 voucher housing- NYC Housing Authority (NYCHA)- project-based,HPD,08_2023,2023-08-01,families_with_children,NA,Voucher,Permanent Housing
Section 8 voucher housing- NYC Housing Authority (NYCHA)- project-based,HPD,08_2023,2023-08-01,adult_families,NA,Voucher,Permanent Housing
Section 8 voucher housing- NYC Housing Authority (NYCHA)- project-based,HPD,08_2023,2023-08-01,runaway_and_homeless_youth,NA,Voucher,Permanent Housing
Section 8 voucher housing- NYC Housing Authority (NYCHA)- project-based,HPD,08_2023,2023-08-01,total_single_adults,NA,Voucher,Permanent Housing
Section 8 voucher housing- NYCHA- tenant-based,HPD,08_2023,2023-08-01,families_with_children,NA,Voucher,Permanent Housing
Section 8 voucher housing- NYCHA- tenant-based,HPD,08_2023,2023-08-01,adult_families,NA,Voucher,Permanent Housing
Section 8 voucher housing- NYCHA- tenant-based,HPD,08_2023,2023-08-01,runaway_and_homeless_youth,NA,Voucher,Permanent Housing
Section 8 voucher housing- NYCHA- tenant-based,HPD,08_2023,2023-08-01,total_single_adults,NA,Voucher,Permanent Housing
settings with higher levels of medical care- inpatient hospitalization,HPD,08_2023,2023-08-01,families_with_children,NA,Medical care or rehabilitation facility,Other
settings with higher levels of medical care- inpatient hospitalization,HPD,08_2023,2023-08-01,adult_families,NA,Medical care or rehabilitation facility,Other
settings with higher levels of medical care- inpatient hospitalization,HPD,08_2023,2023-08-01,runaway_and_homeless_youth,NA,Medical care or rehabilitation facility,Other
settings with higher levels of medical care- inpatient hospitalization,HPD,08_2023,2023-08-01,total_single_adults,NA,Medical care or rehabilitation facility,Other
settings with higher levels of medical care- long-term care facilities,HPD,08_2023,2023-08-01,families_with_children,NA,Medical care or rehabilitation facility,Other
settings with higher levels of medical care- long-term care facilities,HPD,08_2023,2023-08-01,adult_families,NA,Medical care or rehabilitation facility,Other
settings with higher levels of medical care- long-term care facilities,HPD,08_2023,2023-08-01,runaway_and_homeless_youth,NA,Medical care or rehabilitation facility,Other
settings with higher levels of medical care- long-term care facilities,HPD,08_2023,2023-08-01,total_single_adults,NA,Medical care or rehabilitation facility,Other
settings with higher levels of medical care- medical rehabilitation centers,HPD,08_2023,2023-08-01,families_with_children,NA,Medical care or rehabilitation facility,Other
settings with higher levels of medical care- medical rehabilitation centers,HPD,08_2023,2023-08-01,adult_families,NA,Medical care or rehabilitation facility,Other
settings with higher levels of medical care- medical rehabilitation centers,HPD,08_2023,2023-08-01,runaway_and_homeless_youth,NA,Medical care or rehabilitation facility,Other
settings with higher levels of medical care- medical rehabilitation centers,HPD,08_2023,2023-08-01,total_single_adults,NA,Medical care or rehabilitation facility,Other
settings with higher levels of medical care- medical respite care,HPD,08_2023,2023-08-01,families_with_children,NA,Medical care or rehabilitation facility,Other
settings with higher levels of medical care- medical respite care,HPD,08_2023,2023-08-01,adult_families,NA,Medical care or rehabilitation facility,Other
settings with higher levels of medical care- medical respite care,HPD,08_2023,2023-08-01,runaway_and_homeless_youth,NA,Medical care or rehabilitation facility,Other
settings with higher levels of medical care- medical respite care,HPD,08_2023,2023-08-01,total_single_adults,NA,Medical care or rehabilitation facility,Other
Supportive housing,HPD,08_2023,2023-08-01,families_with_children,0,Supportive housing,Permanent Housing
Supportive housing,HPD,08_2023,2023-08-01,adult_families,0,Supportive housing,Permanent Housing
Supportive housing,HPD,08_2023,2023-08-01,runaway_and_homeless_youth,NA,Supportive housing,Permanent Housing
Supportive housing,HPD,08_2023,2023-08-01,total_single_adults,0,Supportive housing,Permanent Housing
"Transitional housing operated by or under contract or similar agreement with DHS, DYCD, HPD, United States Department of Housing and Urban Development (HUD) or HRA",HPD,08_2023,2023-08-01,families_with_children,NA,Transitional housing,Other
"Transitional housing operated by or under contract or similar agreement with DHS, DYCD, HPD, United States Department of Housing and Urban Development (HUD) or HRA",HPD,08_2023,2023-08-01,adult_families,NA,Transitional housing,Other
"Transitional housing operated by or under contract or similar agreement with DHS, DYCD, HPD, United States Department of Housing and Urban Development (HUD) or HRA",HPD,08_2023,2023-08-01,runaway_and_homeless_youth,NA,Transitional housing,Other
"Transitional housing operated by or under contract or similar agreement with DHS, DYCD, HPD, United States Department of Housing and Urban Development (HUD) or HRA",HPD,08_2023,2023-08-01,total_single_adults,NA,Transitional housing,Other
Unknown or unable to validate,HPD,08_2023,2023-08-01,families_with_children,0,Unknown,Unknown
Unknown or unable to validate,HPD,08_2023,2023-08-01,adult_families,0,Unknown,Unknown
Unknown or unable to validate,HPD,08_2023,2023-08-01,runaway_and_homeless_youth,NA,Unknown,Unknown
Unknown or unable to validate,HPD,08_2023,2023-08-01,total_single_adults,0,Unknown,Unknown
A private rental market apartment with no rental subsidy,HRA,08_2023,2023-08-01,families_with_children,25,Private market,Permanent Housing
A private rental market apartment with no rental subsidy,HRA,08_2023,2023-08-01,adult_families,0,Private market,Permanent Housing
A private rental market apartment with no rental subsidy,HRA,08_2023,2023-08-01,runaway_and_homeless_youth,NA,Private market,Permanent Housing
A private rental market apartment with no rental subsidy,HRA,08_2023,2023-08-01,total_single_adults,0,Private market,Permanent Housing
Housing of friends or family,HRA,08_2023,2023-08-01,families_with_children,28,Family or friends,Permanent Housing
Housing of friends or family,HRA,08_2023,2023-08-01,adult_families,0,Family or friends,Permanent Housing
Housing of friends or family,HRA,08_2023,2023-08-01,runaway_and_homeless_youth,NA,Family or friends,Permanent Housing
Housing of friends or family,HRA,08_2023,2023-08-01,total_single_adults,24,Family or friends,Permanent Housing
NYCHA,HRA,08_2023,2023-08-01,families_with_children,0,NYCHA,Permanent Housing
NYCHA,HRA,08_2023,2023-08-01,adult_families,0,NYCHA,Permanent Housing
NYCHA,HRA,08_2023,2023-08-01,runaway_and_homeless_youth,NA,NYCHA,Permanent Housing
NYCHA,HRA,08_2023,2023-08-01,total_single_adults,0,NYCHA,Permanent Housing
Other,HRA,08_2023,2023-08-01,families_with_children,0,Other,Other
Other,HRA,08_2023,2023-08-01,adult_families,0,Other,Other
Other,HRA,08_2023,2023-08-01,runaway_and_homeless_youth,NA,Other,Other
Other,HRA,08_2023,2023-08-01,total_single_adults,0,Other,Other
Other affordable housing- other housing,HRA,08_2023,2023-08-01,families_with_children,0,Affordable housing,Permanent Housing
Other affordable housing- other housing,HRA,08_2023,2023-08-01,adult_families,0,Affordable housing,Permanent Housing
Other affordable housing- other housing,HRA,08_2023,2023-08-01,runaway_and_homeless_youth,NA,Affordable housing,Permanent Housing
Other affordable housing- other housing,HRA,08_2023,2023-08-01,total_single_adults,0,Affordable housing,Permanent Housing
private rental market apartment with a rental subsidy- disaggregated by the type of such subsidy,HRA,08_2023,2023-08-01,families_with_children,18,Voucher,Permanent Housing
private rental market apartment with a rental subsidy- disaggregated by the type of such subsidy,HRA,08_2023,2023-08-01,adult_families,0,Voucher,Permanent Housing
private rental market apartment with a rental subsidy- disaggregated by the type of such subsidy,HRA,08_2023,2023-08-01,runaway_and_homeless_youth,NA,Voucher,Permanent Housing
private rental market apartment with a rental subsidy- disaggregated by the type of such subsidy,HRA,08_2023,2023-08-01,total_single_adults,69,Voucher,Permanent Housing
Residential drug treatment and detoxification,HRA,08_2023,2023-08-01,families_with_children,0,Medical care or rehabilitation facility,Other
Residential drug treatment and detoxification,HRA,08_2023,2023-08-01,adult_families,0,Medical care or rehabilitation facility,Other
Residential drug treatment and detoxification,HRA,08_2023,2023-08-01,runaway_and_homeless_youth,NA,Medical care or rehabilitation facility,Other
Residential drug treatment and detoxification,HRA,08_2023,2023-08-01,total_single_adults,0,Medical care or rehabilitation facility,Other
Section 8,HRA,08_2023,2023-08-01,families_with_children,0,Voucher,Permanent Housing
Section 8,HRA,08_2023,2023-08-01,adult_families,0,Voucher,Permanent Housing
Section 8,HRA,08_2023,2023-08-01,runaway_and_homeless_youth,NA,Voucher,Permanent Housing
Section 8,HRA,08_2023,2023-08-01,total_single_adults,0,Voucher,Permanent Housing
Settings with higher levels of medical care- inpatient hospitalization,HRA,08_2023,2023-08-01,families_with_children,0,Medical care or rehabilitation facility,Other
Settings with higher levels of medical care- inpatient hospitalization,HRA,08_2023,2023-08-01,adult_families,0,Medical care or rehabilitation facility,Other
Settings with higher levels of medical care- inpatient hospitalization,HRA,08_2023,2023-08-01,runaway_and_homeless_youth,NA,Medical care or rehabilitation facility,Other
Settings with higher levels of medical care- inpatient hospitalization,HRA,08_2023,2023-08-01,total_single_adults,0,Medical care or rehabilitation facility,Other
Settings with higher levels of medical care- medical rehabilitation centers,HRA,08_2023,2023-08-01,families_with_children,0,Medical care or rehabilitation facility,Other
Settings with higher levels of medical care- medical rehabilitation centers,HRA,08_2023,2023-08-01,adult_families,0,Medical care or rehabilitation facility,Other
Settings with higher levels of medical care- medical rehabilitation centers,HRA,08_2023,2023-08-01,runaway_and_homeless_youth,NA,Medical care or rehabilitation facility,Other
Settings with higher levels of medical care- medical rehabilitation centers,HRA,08_2023,2023-08-01,total_single_adults,0,Medical care or rehabilitation facility,Other
Supportive housing,HRA,08_2023,2023-08-01,families_with_children,0,Supportive housing,Permanent Housing
Supportive housing,HRA,08_2023,2023-08-01,adult_families,0,Supportive housing,Permanent Housing
Supportive housing,HRA,08_2023,2023-08-01,runaway_and_homeless_youth,NA,Supportive housing,Permanent Housing
Supportive housing,HRA,08_2023,2023-08-01,total_single_adults,28,Supportive housing,Permanent Housing
Unknown or unable to validate,HRA,08_2023,2023-08-01,families_with_children,143,Unknown,Unknown
Unknown or unable to validate,HRA,08_2023,2023-08-01,adult_families,39,Unknown,Unknown
Unknown or unable to validate,HRA,08_2023,2023-08-01,runaway_and_homeless_youth,NA,Unknown,Unknown
Unknown or unable to validate,HRA,08_2023,2023-08-01,total_single_adults,188,Unknown,Unknown
City-financed homeless set-aside units- HDC set- aside units financed under Housing New York,HRA,08_2023,2023-08-01,families_with_children,NA,City-financed homeless unit,Permanent Housing
City-financed homeless set-aside units- HDC set- aside units financed under Housing New York,HRA,08_2023,2023-08-01,adult_families,NA,City-financed homeless unit,Permanent Housing
City-financed homeless set-aside units- HDC set- aside units financed under Housing New York,HRA,08_2023,2023-08-01,runaway_and_homeless_youth,NA,City-financed homeless unit,Permanent Housing
City-financed homeless set-aside units- HDC set- aside units financed under Housing New York,HRA,08_2023,2023-08-01,total_single_adults,NA,City-financed homeless unit,Permanent Housing
City-financed homeless set-aside units- HPD set-aside units financed under Housing New York,HRA,08_2023,2023-08-01,families_with_children,NA,City-financed homeless unit,Permanent Housing
City-financed homeless set-aside units- HPD set-aside units financed under Housing New York,HRA,08_2023,2023-08-01,adult_families,NA,City-financed homeless unit,Permanent Housing
City-financed homeless set-aside units- HPD set-aside units financed under Housing New York,HRA,08_2023,2023-08-01,runaway_and_homeless_youth,NA,City-financed homeless unit,Permanent Housing
City-financed homeless set-aside units- HPD set-aside units financed under Housing New York,HRA,08_2023,2023-08-01,total_single_adults,NA,City-financed homeless unit,Permanent Housing
City-financed homeless set-aside units units financed jointly by HPD and HDC under Housing New York,HRA,08_2023,2023-08-01,families_with_children,NA,City-financed homeless unit,Permanent Housing
City-financed homeless set-aside units units financed jointly by HPD and HDC under Housing New York,HRA,08_2023,2023-08-01,adult_families,NA,City-financed homeless unit,Permanent Housing
City-financed homeless set-aside units units financed jointly by HPD and HDC under Housing New York,HRA,08_2023,2023-08-01,runaway_and_homeless_youth,NA,City-financed homeless unit,Permanent Housing
City-financed homeless set-aside units units financed jointly by HPD and HDC under Housing New York,HRA,08_2023,2023-08-01,total_single_adults,NA,City-financed homeless unit,Permanent Housing
Moved back to vacated building,HRA,08_2023,2023-08-01,families_with_children,NA,Other,Other
Moved back to vacated building,HRA,08_2023,2023-08-01,adult_families,NA,Other,Other
Moved back to vacated building,HRA,08_2023,2023-08-01,runaway_and_homeless_youth,NA,Other,Other
Moved back to vacated building,HRA,08_2023,2023-08-01,total_single_adults,NA,Other,Other
Other affordable housing- 421-a affordable housing,HRA,08_2023,2023-08-01,families_with_children,NA,Affordable housing,Permanent Housing
Other affordable housing- 421-a affordable housing,HRA,08_2023,2023-08-01,adult_families,NA,Affordable housing,Permanent Housing
Other affordable housing- 421-a affordable housing,HRA,08_2023,2023-08-01,runaway_and_homeless_youth,NA,Affordable housing,Permanent Housing
Other affordable housing- 421-a affordable housing,HRA,08_2023,2023-08-01,total_single_adults,NA,Affordable housing,Permanent Housing
Other affordable housing- Housing New York,HRA,08_2023,2023-08-01,families_with_children,NA,Affordable housing,Permanent Housing
Other affordable housing- Housing New York,HRA,08_2023,2023-08-01,adult_families,NA,Affordable housing,Permanent Housing
Other affordable housing- Housing New York,HRA,08_2023,2023-08-01,runaway_and_homeless_youth,NA,Affordable housing,Permanent Housing
Other affordable housing- Housing New York,HRA,08_2023,2023-08-01,total_single_adults,NA,Affordable housing,Permanent Housing
Other affordable housing- mandatory inclusionary housing,HRA,08_2023,2023-08-01,families_with_children,NA,Affordable housing,Permanent Housing
Other affordable housing- mandatory inclusionary housing,HRA,08_2023,2023-08-01,adult_families,NA,Affordable housing,Permanent Housing
Other affordable housing- mandatory inclusionary housing,HRA,08_2023,2023-08-01,runaway_and_homeless_youth,NA,Affordable housing,Permanent Housing
Other affordable housing- mandatory inclusionary housing,HRA,08_2023,2023-08-01,total_single_adults,NA,Affordable housing,Permanent Housing
Private housing that is not an entire apartment with a rental subsidy- private room,HRA,08_2023,2023-08-01,families_with_children,NA,Voucher,Permanent Housing
Private housing that is not an entire apartment with a rental subsidy- private room,HRA,08_2023,2023-08-01,adult_families,NA,Voucher,Permanent Housing
Private housing that is not an entire apartment with a rental subsidy- private room,HRA,08_2023,2023-08-01,runaway_and_homeless_youth,NA,Voucher,Permanent Housing
Private housing that is not an entire apartment with a rental subsidy- private room,HRA,08_2023,2023-08-01,total_single_adults,NA,Voucher,Permanent Housing
Private housing that is not an entire apartment with a rental subsidy- unsubsidized single-room occupancy that is not supportive housing,HRA,08_2023,2023-08-01,families_with_children,NA,Voucher,Permanent Housing
Private housing that is not an entire apartment with a rental subsidy- unsubsidized single-room occupancy that is not supportive housing,HRA,08_2023,2023-08-01,adult_families,NA,Voucher,Permanent Housing
Private housing that is not an entire apartment with a rental subsidy- unsubsidized single-room occupancy that is not supportive housing,HRA,08_2023,2023-08-01,runaway_and_homeless_youth,NA,Voucher,Permanent Housing
Private housing that is not an entire apartment with a rental subsidy- unsubsidized single-room occupancy that is not supportive housing,HRA,08_2023,2023-08-01,total_single_adults,NA,Voucher,Permanent Housing
Rapid re-housing funded by the United States department of housing and urban development,HRA,08_2023,2023-08-01,families_with_children,NA,Rapid re-housing,Other
Rapid re-housing funded by the United States department of housing and urban development,HRA,08_2023,2023-08-01,adult_families,NA,Rapid re-housing,Other
Rapid re-housing funded by the United States department of housing and urban development,HRA,08_2023,2023-08-01,runaway_and_homeless_youth,NA,Rapid re-housing,Other
Rapid re-housing funded by the United States department of housing and urban development,HRA,08_2023,2023-08-01,total_single_adults,NA,Rapid re-housing,Other
Section 8 voucher housing- HPD- project-based,HRA,08_2023,2023-08-01,families_with_children,NA,Voucher,Permanent Housing
Section 8 voucher housing- HPD- project-based,HRA,08_2023,2023-08-01,adult_families,NA,Voucher,Permanent Housing
Section 8 voucher housing- HPD- project-based,HRA,08_2023,2023-08-01,runaway_and_homeless_youth,NA,Voucher,Permanent Housing
Section 8 voucher housing- HPD- project-based,HRA,08_2023,2023-08-01,total_single_adults,NA,Voucher,Permanent Housing
Section 8 voucher housing- HPD- tenant-based,HRA,08_2023,2023-08-01,families_with_children,NA,Voucher,Permanent Housing
Section 8 voucher housing- HPD- tenant-based,HRA,08_2023,2023-08-01,adult_families,NA,Voucher,Permanent Housing
Section 8 voucher housing- HPD- tenant-based,HRA,08_2023,2023-08-01,runaway_and_homeless_youth,NA,Voucher,Permanent Housing
Section 8 voucher housing- HPD- tenant-based,HRA,08_2023,2023-08-01,total_single_adults,NA,Voucher,Permanent Housing
Section 8 voucher housing- New York state homes and community renewal- tenant-based,HRA,08_2023,2023-08-01,families_with_children,NA,Voucher,Permanent Housing
Section 8 voucher housing- New York state homes and community renewal- tenant-based,HRA,08_2023,2023-08-01,adult_families,NA,Voucher,Permanent Housing
Section 8 voucher housing- New York state homes and community renewal- tenant-based,HRA,08_2023,2023-08-01,runaway_and_homeless_youth,NA,Voucher,Permanent Housing
Section 8 voucher housing- New York state homes and community renewal- tenant-based,HRA,08_2023,2023-08-01,total_single_adults,NA,Voucher,Permanent Housing
Section 8 voucher housing- New York state homes and community renewal-project-based,HRA,08_2023,2023-08-01,families_with_children,NA,Voucher,Permanent Housing
Section 8 voucher housing- New York state homes and community renewal-project-based,HRA,08_2023,2023-08-01,adult_families,NA,Voucher,Permanent Housing
Section 8 voucher housing- New York state homes and community renewal-project-based,HRA,08_2023,2023-08-01,runaway_and_homeless_youth,NA,Voucher,Permanent Housing
Section 8 voucher housing- New York state homes and community renewal-project-based,HRA,08_2023,2023-08-01,total_single_adults,NA,Voucher,Permanent Housing
Section 8 voucher housing- NYC Housing Authority (NYCHA)- project-based,HRA,08_2023,2023-08-01,families_with_children,NA,Voucher,Permanent Housing
Section 8 voucher housing- NYC Housing Authority (NYCHA)- project-based,HRA,08_2023,2023-08-01,adult_families,NA,Voucher,Permanent Housing
Section 8 voucher housing- NYC Housing Authority (NYCHA)- project-based,HRA,08_2023,2023-08-01,runaway_and_homeless_youth,NA,Voucher,Permanent Housing
Section 8 voucher housing- NYC Housing Authority (NYCHA)- project-based,HRA,08_2023,2023-08-01,total_single_adults,NA,Voucher,Permanent Housing
Section 8 voucher housing- NYCHA- tenant-based,HRA,08_2023,2023-08-01,families_with_children,NA,Voucher,Permanent Housing
Section 8 voucher housing- NYCHA- tenant-based,HRA,08_2023,2023-08-01,adult_families,NA,Voucher,Permanent Housing
Section 8 voucher housing- NYCHA- tenant-based,HRA,08_2023,2023-08-01,runaway_and_homeless_youth,NA,Voucher,Permanent Housing
Section 8 voucher housing- NYCHA- tenant-based,HRA,08_2023,2023-08-01,total_single_adults,NA,Voucher,Permanent Housing
Settings with higher levels of medical care- long-term care facilities,HRA,08_2023,2023-08-01,families_with_children,NA,Medical care or rehabilitation facility,Other
Settings with higher levels of medical care- long-term care facilities,HRA,08_2023,2023-08-01,adult_families,NA,Medical care or rehabilitation facility,Other
Settings with higher levels of medical care- long-term care facilities,HRA,08_2023,2023-08-01,runaway_and_homeless_youth,NA,Medical care or rehabilitation facility,Other
Settings with higher levels of medical care- long-term care facilities,HRA,08_2023,2023-08-01,total_single_adults,NA,Medical care or rehabilitation facility,Other
Settings with higher levels of medical care- medical respite care,HRA,08_2023,2023-08-01,families_with_children,NA,Medical care or rehabilitation facility,Other
Settings with higher levels of medical care- medical respite care,HRA,08_2023,2023-08-01,adult_families,NA,Medical care or rehabilitation facility,Other
Settings with higher levels of medical care- medical respite care,HRA,08_2023,2023-08-01,runaway_and_homeless_youth,NA,Medical care or rehabilitation facility,Other
Settings with higher levels of medical care- medical respite care,HRA,08_2023,2023-08-01,total_single_adults,NA,Medical care or rehabilitation facility,Other
"Transitional housing operated by or under contract or similar agreement with DHS, DYCD, HPD, United States Department of Housing and Urban Development (HUD) or HRA",HRA,08_2023,2023-08-01,families_with_children,NA,Transitional housing,Other
"Transitional housing operated by or under contract or similar agreement with DHS, DYCD, HPD, United States Department of Housing and Urban Development (HUD) or HRA",HRA,08_2023,2023-08-01,adult_families,NA,Transitional housing,Other
"Transitional housing operated by or under contract or similar agreement with DHS, DYCD, HPD, United States Department of Housing and Urban Development (HUD) or HRA",HRA,08_2023,2023-08-01,runaway_and_homeless_youth,NA,Transitional housing,Other
"Transitional housing operated by or under contract or similar agreement with DHS, DYCD, HPD, United States Department of Housing and Urban Development (HUD) or HRA",HRA,08_2023,2023-08-01,total_single_adults,NA,Transitional housing,Other
A private rental market apartment with no rental subsidy,DYCD,08_2023,2023-08-01,families_with_children,NA,Private market,Permanent Housing
A private rental market apartment with no rental subsidy,DYCD,08_2023,2023-08-01,adult_families,0,Private market,Permanent Housing
A private rental market apartment with no rental subsidy,DYCD,08_2023,2023-08-01,runaway_and_homeless_youth,0,Private market,Permanent Housing
A private rental market apartment with no rental subsidy,DYCD,08_2023,2023-08-01,total_single_adults,0,Private market,Permanent Housing
